epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.4526,1.21409,3.21024,1.4068,0.84057,0.18634,0.52099,0.30264,1.13222,2.98401,1.43754,0.000326923,0.000326923,0.000326923
2,36.981,1.29581,2.22874,1.45594,0.65987,0.54301,0.66957,0.42831,1.26233,2.2594,1.61895,0.000654809,0.000654809,0.000654809
3,53.7107,1.35778,2.0314,1.49856,0.43013,0.55962,0.5071,0.30273,1.3648,2.14741,1.73018,0.000977196,0.000977196,0.000977196
4,70.5418,1.31224,1.87373,1.4513,0.54861,0.41455,0.43382,0.21934,1.6806,2.23392,1.89803,0.00097525,0.00097525,0.00097525
5,86.4968,1.34415,1.81338,1.46445,0.57176,0.53908,0.59377,0.3631,1.38318,2.12753,1.67078,0.000967,0.000967,0.000967
6,102.824,1.31305,1.692,1.44471,0.73175,0.58551,0.69521,0.41791,1.43541,1.77755,1.62253,0.00095875,0.00095875,0.00095875
7,120.165,1.29673,1.69211,1.43762,0.61716,0.64474,0.63432,0.40038,1.38629,1.50297,1.57356,0.0009505,0.0009505,0.0009505
8,136.272,1.2844,1.55995,1.40864,0.78895,0.57317,0.74218,0.46227,1.36919,1.49865,1.59317,0.00094225,0.00094225,0.00094225
9,152.155,1.25371,1.46736,1.39742,0.75253,0.57709,0.69243,0.4392,1.28698,1.55218,1.49721,0.000934,0.000934,0.000934
10,168.377,1.21384,1.48811,1.40108,0.74755,0.6961,0.78205,0.48847,1.33251,1.34361,1.58433,0.00092575,0.00092575,0.00092575
11,185.686,1.23741,1.33732,1.39273,0.81423,0.81005,0.84722,0.56159,1.25607,1.08711,1.45822,0.0009175,0.0009175,0.0009175
12,201.884,1.20479,1.30199,1.37981,0.81117,0.67143,0.78562,0.53391,1.22752,1.10534,1.44333,0.00090925,0.00090925,0.00090925
13,218.084,1.2009,1.24971,1.37193,0.7015,0.70066,0.74707,0.49006,1.38458,1.26835,1.62259,0.000901,0.000901,0.000901
14,234.632,1.201,1.20858,1.35847,0.66576,0.73675,0.76011,0.44682,1.34132,1.33906,1.56979,0.00089275,0.00089275,0.00089275
15,251.265,1.20699,1.20391,1.36104,0.80137,0.8371,0.859,0.52814,1.31071,1.07569,1.53162,0.0008845,0.0008845,0.0008845
16,267.275,1.18592,1.17093,1.35357,0.80312,0.80704,0.83162,0.55585,1.25353,1.0128,1.49624,0.00087625,0.00087625,0.00087625
17,283.306,1.17192,1.12996,1.3425,0.84856,0.77584,0.83406,0.57701,1.22976,1.09795,1.44441,0.000868,0.000868,0.000868
18,300.031,1.14094,1.11869,1.35327,0.85112,0.69447,0.80793,0.55997,1.2179,0.91691,1.43955,0.00085975,0.00085975,0.00085975
19,316.506,1.18415,1.07358,1.35185,0.84645,0.74865,0.829,0.55024,1.24145,0.98215,1.44844,0.0008515,0.0008515,0.0008515
20,332.843,1.15069,1.05257,1.32503,0.80977,0.78049,0.8171,0.55732,1.14495,0.89013,1.35971,0.00084325,0.00084325,0.00084325
21,348.977,1.16377,1.04403,1.32925,0.8819,0.6982,0.81054,0.51371,1.29725,0.99444,1.50981,0.000835,0.000835,0.000835
22,366.285,1.14677,1.00747,1.31634,0.84539,0.7872,0.85831,0.59106,1.20988,0.89392,1.43214,0.00082675,0.00082675,0.00082675
23,382.834,1.13093,0.97045,1.30717,0.89444,0.77241,0.88462,0.60194,1.13112,0.80802,1.38877,0.0008185,0.0008185,0.0008185
24,399.034,1.12321,0.96607,1.27987,0.74844,0.80105,0.81353,0.56487,1.19706,0.97394,1.40904,0.00081025,0.00081025,0.00081025
25,415.275,1.09674,0.97171,1.28469,0.81878,0.81202,0.86255,0.60575,1.1559,0.86885,1.41515,0.000802,0.000802,0.000802
26,432.613,1.10427,0.94321,1.29564,0.77203,0.81542,0.83367,0.58393,1.23194,0.91506,1.46283,0.00079375,0.00079375,0.00079375
27,448.675,1.08714,0.91638,1.2887,0.87158,0.78464,0.87351,0.59781,1.20823,0.84039,1.4679,0.0007855,0.0007855,0.0007855
28,464.823,1.09204,0.90017,1.28122,0.85285,0.83935,0.8827,0.62488,1.19392,0.76537,1.46145,0.00077725,0.00077725,0.00077725
29,481.081,1.08205,0.90687,1.2682,0.82635,0.83503,0.84663,0.56517,1.2519,0.77335,1.48644,0.000769,0.000769,0.000769
30,497.988,1.05755,0.8397,1.25184,0.85629,0.8301,0.89586,0.60268,1.18366,0.7543,1.4208,0.00076075,0.00076075,0.00076075
31,513.98,1.08703,0.86279,1.26537,0.80434,0.76797,0.81917,0.56495,1.24096,0.92774,1.44692,0.0007525,0.0007525,0.0007525
32,530.037,1.05171,0.82019,1.2568,0.85227,0.85537,0.87525,0.60649,1.21706,0.81805,1.43703,0.00074425,0.00074425,0.00074425
33,546.646,1.04202,0.84027,1.24043,0.85832,0.84505,0.86569,0.59705,1.21846,0.7447,1.45491,0.000736,0.000736,0.000736
34,563.226,1.06037,0.83376,1.24892,0.80287,0.77673,0.82181,0.54273,1.24623,0.92222,1.47801,0.00072775,0.00072775,0.00072775
35,579.102,1.05517,0.84051,1.25227,0.83594,0.87861,0.89467,0.60603,1.17284,0.70358,1.42884,0.0007195,0.0007195,0.0007195
36,595.045,1.05401,0.81255,1.25256,0.84627,0.80674,0.86048,0.62776,1.15292,0.81129,1.40351,0.00071125,0.00071125,0.00071125
37,611.761,1.05827,0.81422,1.26049,0.87764,0.84036,0.89079,0.5977,1.25621,0.70936,1.48526,0.000703,0.000703,0.000703
38,628.004,1.03296,0.77858,1.24223,0.83581,0.80606,0.84804,0.60246,1.17785,0.73683,1.43635,0.00069475,0.00069475,0.00069475
39,644.101,1.00948,0.78052,1.23995,0.85168,0.81969,0.85454,0.58955,1.18901,0.804,1.41315,0.0006865,0.0006865,0.0006865
40,660.658,1.00777,0.75845,1.22547,0.81161,0.8329,0.85579,0.58872,1.24539,0.71499,1.4963,0.00067825,0.00067825,0.00067825
41,678.418,1.00118,0.7701,1.23798,0.81584,0.833,0.8905,0.62409,1.20638,0.75633,1.44058,0.00067,0.00067,0.00067
42,694.962,1.00178,0.76681,1.22447,0.85743,0.81788,0.87073,0.5895,1.2415,0.79974,1.47385,0.00066175,0.00066175,0.00066175
43,711.714,1.00942,0.74368,1.21811,0.8439,0.84509,0.8685,0.60727,1.18356,0.76641,1.39813,0.0006535,0.0006535,0.0006535
44,729.057,1.00182,0.73847,1.21655,0.88056,0.88468,0.90986,0.61589,1.21474,0.68916,1.44569,0.00064525,0.00064525,0.00064525
45,745.632,0.99364,0.71884,1.21888,0.90658,0.87056,0.91804,0.62896,1.26111,0.68483,1.4767,0.000637,0.000637,0.000637
46,761.825,0.97145,0.70353,1.19848,0.8853,0.82134,0.87366,0.61731,1.20553,0.71942,1.46892,0.00062875,0.00062875,0.00062875
47,778.05,0.9558,0.6852,1.19025,0.87597,0.85734,0.8922,0.62896,1.17952,0.65709,1.42797,0.0006205,0.0006205,0.0006205
48,795.438,0.97231,0.69952,1.19892,0.91091,0.90129,0.91705,0.64196,1.13826,0.6644,1.38217,0.00061225,0.00061225,0.00061225
49,811.701,0.97799,0.71916,1.21113,0.88429,0.88699,0.91302,0.63316,1.19451,0.66782,1.43061,0.000604,0.000604,0.000604
50,828.087,0.95834,0.68498,1.19153,0.9046,0.88174,0.90994,0.63828,1.18189,0.63855,1.40703,0.00059575,0.00059575,0.00059575
51,844.685,0.97553,0.68616,1.19872,0.8844,0.81505,0.89266,0.62526,1.18964,0.69197,1.44998,0.0005875,0.0005875,0.0005875
52,861.403,0.97216,0.68435,1.2016,0.89743,0.88748,0.89746,0.63354,1.15226,0.64224,1.39909,0.00057925,0.00057925,0.00057925
53,877.269,0.95464,0.67051,1.18383,0.8588,0.86938,0.88381,0.61825,1.19069,0.69128,1.41011,0.000571,0.000571,0.000571
54,893.522,0.95067,0.69131,1.19502,0.88659,0.87658,0.89794,0.62114,1.18895,0.66679,1.43443,0.00056275,0.00056275,0.00056275
55,910.344,0.95857,0.67987,1.19898,0.82853,0.87611,0.89159,0.6264,1.17862,0.68971,1.39281,0.0005545,0.0005545,0.0005545
56,926.8,0.94001,0.68611,1.18283,0.92307,0.87357,0.91835,0.63291,1.21878,0.67281,1.47411,0.00054625,0.00054625,0.00054625
57,942.866,0.9269,0.65399,1.17546,0.88628,0.90368,0.90644,0.63545,1.14544,0.62947,1.39978,0.000538,0.000538,0.000538
58,959.079,0.91612,0.64095,1.16161,0.8427,0.86228,0.89356,0.64064,1.15465,0.70623,1.40371,0.00052975,0.00052975,0.00052975
59,976.289,0.90833,0.63824,1.1599,0.87335,0.83352,0.88315,0.62434,1.18347,0.68759,1.40962,0.0005215,0.0005215,0.0005215
60,992.757,0.88682,0.60765,1.15071,0.9106,0.87165,0.90511,0.64197,1.15464,0.65257,1.41547,0.00051325,0.00051325,0.00051325
61,1009.05,0.90524,0.63284,1.15169,0.85273,0.88543,0.89978,0.63765,1.1815,0.66881,1.44532,0.000505,0.000505,0.000505
62,1025.16,0.88642,0.60825,1.14577,0.91735,0.85339,0.90263,0.63098,1.18743,0.64808,1.44423,0.00049675,0.00049675,0.00049675
63,1042.34,0.88134,0.59341,1.1604,0.92577,0.85059,0.91041,0.65466,1.13426,0.66004,1.39537,0.0004885,0.0004885,0.0004885
64,1058.36,0.88176,0.60398,1.14567,0.92536,0.88388,0.91454,0.65976,1.12081,0.60824,1.38087,0.00048025,0.00048025,0.00048025
