epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.3695,1.20191,3.22757,1.37776,0.00817,0.97692,0.46271,0.26495,1.04077,3.23122,1.36725,0.000326531,0.000326531,0.000326531
2,36.0119,1.34212,2.33058,1.47992,0.55481,0.60249,0.55081,0.26851,1.52855,2.44737,1.94761,0.00065442,0.00065442,0.00065442
3,51.5468,1.33047,2.0392,1.47481,0.39904,0.50398,0.47072,0.2398,1.46696,2.22167,1.79024,0.00097681,0.00097681,0.00097681
4,66.6527,1.33905,1.8902,1.45107,0.33394,0.49338,0.40613,0.23157,1.5611,2.5969,1.91085,0.00097525,0.00097525,0.00097525
5,81.9928,1.31805,1.83282,1.46748,0.72575,0.53322,0.62169,0.35793,1.39125,1.78404,1.75232,0.000967,0.000967,0.000967
6,97.5682,1.30967,1.75487,1.45108,0.6468,0.67564,0.69154,0.42879,1.38262,1.711,1.72865,0.00095875,0.00095875,0.00095875
7,114.052,1.25992,1.65138,1.42277,0.65639,0.6734,0.73676,0.44613,1.34356,1.59698,1.61045,0.0009505,0.0009505,0.0009505
8,129.36,1.28641,1.53818,1.43619,0.68581,0.58944,0.66376,0.41317,1.31423,1.53014,1.63351,0.00094225,0.00094225,0.00094225
9,144.743,1.28806,1.48324,1.41056,0.69222,0.63705,0.76847,0.45186,1.35991,1.49293,1.68055,0.000934,0.000934,0.000934
10,159.864,1.28056,1.41259,1.40433,0.70617,0.71073,0.76993,0.47024,1.35433,1.30455,1.68702,0.00092575,0.00092575,0.00092575
11,175.214,1.23937,1.36941,1.4,0.81442,0.69499,0.81796,0.49501,1.30485,1.31442,1.56536,0.0009175,0.0009175,0.0009175
12,191.412,1.2196,1.27104,1.37782,0.76054,0.76956,0.82339,0.51996,1.2645,1.15624,1.57408,0.00090925,0.00090925,0.00090925
13,206.484,1.22739,1.2688,1.35844,0.60022,0.75511,0.7707,0.4619,1.31365,1.51043,1.63515,0.000901,0.000901,0.000901
14,221.484,1.19984,1.23343,1.35492,0.85418,0.67771,0.77012,0.4484,1.3535,1.2333,1.66702,0.00089275,0.00089275,0.00089275
15,236.604,1.19069,1.16617,1.33169,0.76064,0.78036,0.84497,0.48893,1.29119,1.21171,1.58154,0.0008845,0.0008845,0.0008845
16,251.629,1.17881,1.17026,1.35571,0.79809,0.76465,0.85982,0.54905,1.28683,1.02026,1.53695,0.00087625,0.00087625,0.00087625
17,267.548,1.2083,1.13473,1.36747,0.84075,0.78424,0.87439,0.55558,1.16979,0.98892,1.44941,0.000868,0.000868,0.000868
18,283.266,1.14693,1.11374,1.32785,0.90264,0.80532,0.89246,0.5671,1.2325,0.9594,1.51798,0.00085975,0.00085975,0.00085975
19,298.191,1.14152,1.07359,1.31634,0.89669,0.83613,0.88921,0.54477,1.35856,1.04156,1.67017,0.0008515,0.0008515,0.0008515
20,313.247,1.15786,1.03231,1.31954,0.83102,0.71805,0.84542,0.53485,1.27779,1.00645,1.55018,0.00084325,0.00084325,0.00084325
21,328.481,1.14886,1.04487,1.30835,0.80135,0.80888,0.86805,0.54573,1.26968,0.99375,1.55447,0.000835,0.000835,0.000835
22,343.636,1.14651,1.01825,1.32068,0.9121,0.77617,0.91497,0.58588,1.28593,0.8415,1.54972,0.00082675,0.00082675,0.00082675
23,359.461,1.12157,0.9813,1.31427,0.81743,0.83744,0.88575,0.57021,1.23836,0.93188,1.53953,0.0008185,0.0008185,0.0008185
24,374.607,1.14266,1.00716,1.31245,0.88002,0.8175,0.90654,0.56957,1.24433,0.80604,1.53177,0.00081025,0.00081025,0.00081025
25,389.606,1.1392,1.00332,1.31539,0.81597,0.85507,0.84121,0.52401,1.23564,1.02363,1.49733,0.000802,0.000802,0.000802
26,404.649,1.11478,0.9426,1.2844,0.87018,0.83689,0.89586,0.58472,1.19387,0.84183,1.49024,0.00079375,0.00079375,0.00079375
27,419.695,1.12696,0.96514,1.29764,0.86288,0.8066,0.88925,0.57739,1.17805,0.82696,1.46444,0.0007855,0.0007855,0.0007855
28,435.054,1.08357,0.89583,1.27042,0.91232,0.85655,0.91615,0.61191,1.19595,0.77063,1.47504,0.00077725,0.00077725,0.00077725
29,450.534,1.06482,0.88802,1.26225,0.89307,0.87983,0.94558,0.6168,1.18529,0.76557,1.481,0.000769,0.000769,0.000769
30,465.512,1.0856,0.88882,1.26426,0.84506,0.86476,0.92981,0.61288,1.20759,0.78835,1.48894,0.00076075,0.00076075,0.00076075
31,480.62,1.06044,0.88222,1.26087,0.88249,0.81674,0.93887,0.61821,1.1469,0.80092,1.44025,0.0007525,0.0007525,0.0007525
32,495.505,1.08137,0.87052,1.27092,0.82576,0.8207,0.88283,0.57121,1.16557,0.78971,1.49114,0.00074425,0.00074425,0.00074425
33,510.278,1.05426,0.81976,1.24525,0.79885,0.80441,0.87261,0.57585,1.28688,0.9114,1.53777,0.000736,0.000736,0.000736
34,526.034,1.03619,0.81981,1.24855,0.90967,0.80357,0.93572,0.59338,1.2536,0.85002,1.54895,0.00072775,0.00072775,0.00072775
35,541.343,1.04708,0.81799,1.25989,0.9195,0.83088,0.94693,0.61589,1.1489,0.73034,1.42712,0.0007195,0.0007195,0.0007195
36,556.399,1.01487,0.84689,1.24066,0.88575,0.81133,0.92138,0.59238,1.24012,0.76141,1.56022,0.00071125,0.00071125,0.00071125
37,571.47,1.04464,0.82465,1.27171,0.80535,0.83674,0.87437,0.57344,1.20817,0.83237,1.52047,0.000703,0.000703,0.000703
38,586.743,1.02381,0.79807,1.23716,0.7586,0.86883,0.9242,0.59507,1.26091,0.7865,1.55591,0.00069475,0.00069475,0.00069475
39,601.685,1.04195,0.79959,1.24619,0.90328,0.81176,0.92374,0.60231,1.18464,0.69968,1.4772,0.0006865,0.0006865,0.0006865
40,617.804,1.02662,0.80428,1.24515,0.8571,0.86396,0.92603,0.59162,1.16951,0.7715,1.47899,0.00067825,0.00067825,0.00067825
41,632.629,1.009,0.76512,1.22295,0.86566,0.88131,0.93771,0.62381,1.18126,0.72443,1.47912,0.00067,0.00067,0.00067
42,647.432,1.02534,0.79305,1.22847,0.91759,0.82723,0.91776,0.60156,1.2107,0.74487,1.49223,0.00066175,0.00066175,0.00066175
43,662.629,1.00334,0.75705,1.2236,0.94705,0.87466,0.95892,0.62864,1.21317,0.68741,1.498,0.0006535,0.0006535,0.0006535
44,677.654,0.96655,0.71887,1.20987,0.88285,0.8797,0.94402,0.64753,1.13761,0.73781,1.4235,0.00064525,0.00064525,0.00064525
45,693.108,0.97131,0.72251,1.20352,0.8834,0.88977,0.9603,0.62449,1.25472,0.67725,1.51108,0.000637,0.000637,0.000637
46,708.987,1.0021,0.722,1.20882,0.93294,0.90295,0.97337,0.63433,1.21547,0.66587,1.48777,0.00062875,0.00062875,0.00062875
47,724.062,0.9719,0.73339,1.1996,0.88701,0.90899,0.96319,0.63856,1.16228,0.65775,1.46295,0.0006205,0.0006205,0.0006205
48,739.158,0.97546,0.72661,1.20893,0.86033,0.91181,0.92881,0.61208,1.18616,0.70986,1.47399,0.00061225,0.00061225,0.00061225
